no.,customer_id,customer_name,product,month,year,price,quantity_sold,expenses,profit
1,CUST_171,Customer_133,Product_B,June,2024,11.61,67,14.02,763.85
2,CUST_319,Customer_470,Product_C,September,2021,722.22,67,444.88,47943.86
3,CUST_485,Customer_5,Product_B,November,2022,74.98,26,208.13,1741.35
4,CUST_147,Customer_207,Product_C,December,2023,695.14,73,351.38,50393.84
5,CUST_219,Customer_131,Product_D,December,2023,586.02,27,136.55,15685.99
6,CUST_233,Customer_403,Product_B,January,2024,405.97,46,217.46,18457.16
7,CUST_287,Customer_104,Product_C,September,2021,210.09,20,497.92,3703.88
8,CUST_92,Customer_444,Product_D,August,2022,318.01,49,101.5,15480.99
9,CUST_308,Customer_165,Product_C,November,2023,213.59,10,482.63,1653.27
10,CUST_496,Customer_127,Product_E,August,2020,853.15,24,457.67,20017.93
11,CUST_170,Customer_334,Product_E,November,2024,223.22,44,106.13,9715.55
12,CUST_369,Customer_439,Product_D,February,2024,379.06,22,319.83,8019.49
13,CUST_33,Customer_235,Product_B,November,2021,643.6,60,342.32,38273.68
14,CUST_90,Customer_300,Product_B,December,2022,184.24,10,152.15,1690.25
15,CUST_103,Customer_261,Product_D,September,2021,383.52,20,341.62,7328.78
16,CUST_177,Customer_145,Product_C,December,2024,870.56,6,446.7,4776.66
17,CUST_400,Customer_197,Product_A,April,2022,211.43,60,241.56,12444.24
18,CUST_406,Customer_60,Product_C,March,2021,262.6,29,332.17,7283.23
19,CUST_179,Customer_29,Product_E,May,2023,899.38,47,474.95,41795.91
20,CUST_55,Customer_244,Product_C,October,2022,963.97,79,67.98,76085.65
21,CUST_60,Customer_332,Product_D,July,2024,33.3,78,239.65,2357.75
22,CUST_110,Customer_378,Product_E,October,2021,434.32,23,156.38,9832.98
23,CUST_426,Customer_49,Product_A,December,2020,149.13,82,60.23,12168.43
24,CUST_317,Customer_154,Product_B,January,2024,267.83,55,162.59,14568.06
25,CUST_419,Customer_195,Product_B,January,2021,788.5,6,111.76,4619.24
26,CUST_397,Customer_452,Product_C,February,2021,192.37,47,404.06,8637.33
27,CUST_215,Customer_470,Product_C,May,2023,582,22,304.8,12499.2
